EvaluationID,ObservedInchesFromZero,ObservedSeedSpacing,TargetSpacingInches,SeedPlacementType
1025,96,21,12,1
1025,108,12,12,0
1025,124,16,12,3
1025,133,9,12,3
1025,145,12,12,1
1025,185,40,12,1
1025,195,10,12,0
1025,203,8,12,3
1025,211,8,12,3
1025,222,11,12,0
1025,236,14,12,0
1025,246,10,12,0
1025,261,15,12,3
1025,272,11,12,0
1025,283,11,12,0
1026,13,13,13,0
1026,23,10,13,3
1026,35,12,13,0
1026,47,12,13,0
1026,58,11,13,0
1026,71,13,13,0
1026,83,12,13,0
1026,95,12,13,0
1026,110,15,13,0
1026,124,14,13,0
1026,136,12,13,0
1026,149,13,13,0
1026,163,14,13,0
1027,7,7,13,3
1027,20,13,13,0
1027,30,10,13,3
1027,43,13,13,0
1027,57,14,13,0
1027,66,9,13,3
1027,78,12,13,0
1027,90,12,13,0
1027,102,12,13,1
1027,124,22,13,1
1027,134,10,13,3
1027,149,15,13,0
1027,162,13,13,0
1027,172,10,13,3
1027,185,13,13,0
1027,200,15,13,2
1027,205,5,13,2
1027,218,13,13,0
1027,231,13,13,0
1027,243,12,13,0
1027,260,17,13,3
1027,270,10,13,3
1028,10,10,13,3
1028,21,11,13,0
1028,32,11,13,0
1028,43,11,13,0
1028,54,11,13,0
1028,64,10,13,3
1028,74,10,13,3
1028,86,12,13,0
1028,96,10,13,3
1028,107,11,13,0
1028,118,11,13,0
1028,129,11,13,0
1028,140,11,13,0
1028,151,11,13,0
1028,163,12,13,0
1028,173,10,13,3
1028,183,10,13,3
1028,193,10,13,3
1028,204,11,13,0
1028,214,10,13,3
1028,235,21,13,1
1028,246,11,13,0
1029,12,12,13,0
1029,22,10,13,3
1029,26,4,13,2
1029,33,7,13,3
1029,43,10,13,3
1029,47,4,13,2
1029,58,11,13,0
1029,65,7,13,3
1029,70,5,13,2
1029,77,7,13,3
1029,85,8,13,3
1029,105,20,13,1
1029,115,10,13,3
1029,124,9,13,3
1029,132,8,13,3
1029,140,8,13,3
1029,147,7,13,3
1029,155,8,13,3
1029,159,4,13,2
1029,169,10,13,3
1029,176,7,13,3
1029,179,3,13,2
1029,182,3,13,2
1029,190,8,13,3
1029,194,4,13,2
1029,200,6,13,2
1029,206,6,13,2
1029,218,12,13,0
1029,228,10,13,3
1029,238,10,13,3
1029,241,3,13,2
1029,246,5,13,2
1029,254,8,13,3
1030,8,8,13,3
1030,17,9,13,3
1030,27,10,13,3
1030,36,9,13,3
1030,43,7,13,3
1030,57,14,13,0
1030,64,7,13,3
1030,76,12,13,2
1030,81,5,13,2
1030,91,10,13,3
1030,101,10,13,3
1030,109,8,13,3
1030,120,11,13,0
1030,129,9,13,3
1030,138,9,13,3
1030,148,10,13,3
1030,156,8,13,3
1030,166,10,13,3
1030,177,11,13,0
1030,186,9,13,3
1030,196,10,13,3
1030,204,8,13,3
1030,216,12,13,2
1030,221,5,13,2
1030,232,11,13,0
1030,241,9,13,3
1030,250,9,13,3
1031,8,8,13,3
1031,17,9,13,3
1031,25,8,13,3
1031,34,9,13,3
1031,42,8,13,3
1031,50,8,13,3
1031,59,9,13,3
1031,68,9,13,3
1031,76,8,13,3
1031,83,7,13,3
1031,85,2,13,2
1031,93,8,13,3
1031,102,9,13,3
1031,110,8,13,3
1031,118,8,13,3
1031,126,8,13,3
1031,136,10,13,3
1031,146,10,13,3
1031,154,8,13,3
1031,172,18,13,3
1031,179,7,13,3
1031,182,3,13,2
1031,190,8,13,3
1031,198,8,13,3
1031,206,8,13,3
1031,215,9,13,3
1031,224,9,13,3
1031,233,9,13,3
1031,242,9,13,3
1031,250,8,13,3
1031,258,8,13,3
1032,9,9,9.3,0
1032,17,8,9.3,0
1032,28,11,9.3,1
1032,46,18,9.3,1
1032,61,15,9.3,1
1032,72,11,9.3,1
1032,101,29,9.3,1
1032,105,4,9.3,2
1032,108,3,9.3,2
1032,117,9,9.3,1
1032,138,21,9.3,1
1032,146,8,9.3,0
1033,11,11,13,0
1033,22,11,13,0
1033,31,9,13,3
1033,35,4,13,2
1033,47,12,13,0
1033,55,8,13,3
1033,70,15,13,0
1033,81,11,13,0
1033,92,11,13,0
1033,102,10,13,3
1033,118,16,13,3
1033,125,7,13,3
1033,138,13,13,0
1033,150,12,13,0
1034,12,12,13,0
1034,23,11,13,0
1034,34,11,13,0
1034,45,11,13,0
1034,57,12,13,0
1034,69,12,13,0
1034,81,12,13,0
1034,92,11,13,0
1034,103,11,13,0
1034,115,12,13,0
1034,127,12,13,0
1034,138,11,13,0
1034,148,10,13,3
1034,160,12,13,0
1034,172,12,13,0
1034,184,12,13,0
1034,196,12,13,0
1034,206,10,13,3
1034,218,12,13,0
1034,227,9,13,3
1034,239,12,13,0
1034,252,13,13,0
1034,266,14,13,0
1035,16,16,14,0
1035,27,11,14,3
1035,39,12,14,0
1035,56,17,14,3
1035,69,13,14,0
1035,87,18,14,3
1035,100,13,14,0
1035,115,15,14,0
1035,126,11,14,3
1035,140,14,14,0
1035,154,14,14,0
1035,169,15,14,0
1035,181,12,14,0
1035,196,15,14,0
1035,212,16,14,0
1035,227,15,14,0
1035,243,16,14,0
1035,256,13,14,0
1036,17,17,15,0
1036,34,17,15,0
1036,48,14,15,0
1036,63,15,15,0
1036,78,15,15,0
1036,92,14,15,0
1036,106,14,15,0
1036,121,15,15,0
1036,140,19,15,3
1036,157,17,15,0
1036,170,13,15,0
1036,186,16,15,0
1036,202,16,15,0
1036,218,16,15,0
1036,233,15,15,0
1036,250,17,15,1
1036,280,30,15,1
1036,296,16,15,0
1037,22,22,15.5,3
1037,38,16,15.5,0
1037,56,18,15.5,1
1037,91,35,15.5,1
1037,99,8,15.5,3
1037,109,10,15.5,3
1037,125,16,15.5,0
1037,145,20,15.5,3
1037,157,12,15.5,3
1037,159,2,15.5,2
1037,177,18,15.5,0
1037,196,19,15.5,3
1037,213,17,15.5,0
1037,233,20,15.5,3
1037,252,19,15.5,3
1038,16,16,16,0
1038,33,17,16,0
1038,48,15,16,0
1038,63,15,16,0
1038,78,15,16,0
1038,94,16,16,0
1038,109,15,16,0
1038,124,15,16,0
1038,140,16,16,0
1038,153,13,16,0
1038,167,14,16,0
1038,176,9,16,3
1038,196,20,16,3
1038,211,15,16,1
1038,240,29,16,1
1038,257,17,16,0
1038,270,13,16,0
1038,285,15,16,0
1039,11,11,13,0
1039,24,13,13,0
1039,32,8,13,3
1039,41,9,13,3
1039,57,16,13,3
1039,107,50,13,1
1039,120,13,13,1
1039,738497,738377,13,1
1040,25,25,12,1
1040,37,12,12,1
1040,61,24,12,1
1040,65,4,12,2
1040,73,8,12,3
1040,82,9,12,3
1040,87,5,12,2
1040,97,10,12,1
1040,136,39,12,1
1040,147,11,12,0
1040,160,13,12,2
1040,162,2,12,2
1040,174,12,12,0
1040,187,13,12,1
1040,211,24,12,1
1040,223,12,12,0
1040,237,14,12,0
1040,248,11,12,0
1040,263,15,12,3
1040,275,12,12,0
1040,286,11,12,2
1040,291,5,12,2
1040,297,6,12,2
1041,11,11,10.5,0
1041,22,11,10.5,0
1041,30,8,10.5,3
1041,42,12,10.5,0
1041,54,12,10.5,0
1041,62,8,10.5,3
1041,78,16,10.5,1
1041,88,10,10.5,0
1041,99,11,10.5,1
1041,121,22,10.5,1
1041,133,12,10.5,0
1041,144,11,10.5,0
1042,14,14,12,0
1042,25,11,12,0
1042,37,12,12,0
1042,51,14,12,0
1042,62,11,12,0
1042,73,11,12,0
1042,85,12,12,0
1042,97,12,12,0
1042,114,17,12,3
1042,124,10,12,0
1042,136,12,12,0
1042,149,13,12,0
1042,162,13,12,0
1042,172,10,12,0
1042,186,14,12,0
1042,197,11,12,0
1042,210,13,12,0
1042,219,9,12,3
1042,233,14,12,0
1042,247,14,12,0
1042,259,12,12,2
1042,261,2,12,2
1043,30,30,12,1
1043,42,12,12,0
1043,55,13,12,0
1043,67,12,12,0
1043,81,14,12,0
1043,91,10,12,0
1043,103,12,12,0
1043,115,12,12,0
1043,125,10,12,0
1043,137,12,12,0
1043,152,15,12,3
1043,160,8,12,3
1043,170,10,12,0
1043,181,11,12,0
1043,196,15,12,3
1043,208,12,12,0
1043,220,12,12,0
1043,230,10,12,0
1043,240,10,12,0
1043,253,13,12,0
1043,262,9,12,3
1043,275,13,12,0
1044,17,17,13,3
1044,34,17,13,3
1044,51,17,13,3
1044,67,16,13,3
1044,86,19,13,3
1044,101,15,13,0
1044,118,17,13,3
1044,134,16,13,3
1044,152,18,13,3
1044,171,19,13,3
1044,190,19,13,3
1044,207,17,13,3
1044,227,20,13,1
1044,244,17,13,3
1044,261,17,13,3
1045,11,11,14,3
1045,25,14,14,0
1045,42,17,14,3
1045,56,14,14,0
1045,72,16,14,0
1045,84,12,14,0
1045,99,15,14,0
1045,113,14,14,0
1045,130,17,14,3
1045,144,14,14,0
1045,159,15,14,0
1045,172,13,14,0
1045,184,12,14,0
1045,200,16,14,1
1045,224,24,14,1
1045,250,26,14,1
1046,18,18,13,3
1046,34,16,13,3
1046,50,16,13,3
1046,67,17,13,3
1046,87,20,13,1
1046,101,14,13,0
1046,118,17,13,3
1046,133,15,13,0
1046,150,17,13,3
1046,165,15,13,0
1046,184,19,13,3
1046,200,16,13,3
1046,219,19,13,3
1046,236,17,13,3
1046,254,18,13,3
1046,270,16,13,3
1047,16,16,13,3
1047,30,14,13,0
1047,41,11,13,0
1047,55,14,13,0
1047,70,15,13,0
1047,84,14,13,0
1047,103,19,13,3
1047,118,15,13,0
1048,16,16,13,3
1048,31,15,13,0
1048,45,14,13,0
1048,62,17,13,3
1048,81,19,13,3
1048,95,14,13,0
1048,111,16,13,3
1048,123,12,13,1
1048,145,22,13,1
1048,161,16,13,3
1048,162,1,13,2
1048,191,29,13,1
1048,205,14,13,0
1048,220,15,13,1
1048,252,32,13,1
1048,267,15,13,0
1049,11,11,11.5,0
1049,21,10,11.5,0
1049,37,16,11.5,3
1049,55,18,11.5,1
1049,70,15,11.5,3
1049,80,10,11.5,0
1049,91,11,11.5,0
1049,99,8,11.5,3
1049,109,10,11.5,0
1049,119,10,11.5,0
1049,129,10,11.5,0
1049,140,11,11.5,0
1049,149,9,11.5,3
1049,159,10,11.5,2
1049,163,4,11.5,2
1049,170,7,11.5,3
1049,179,9,11.5,3
1050,10,10,11.5,0
1050,24,14,11.5,3
1050,33,9,11.5,3
1050,43,10,11.5,0
1050,56,13,11.5,0
1050,65,9,11.5,3
1050,77,12,11.5,1
1050,101,24,11.5,1
1050,109,8,11.5,3
1050,120,11,11.5,0
1050,129,9,11.5,3
1050,147,18,11.5,1
1051,15,15,16,0
1051,31,16,16,0
1051,44,13,16,0
1051,60,16,16,0
1051,73,13,16,0
1051,90,17,16,2
1051,92,2,16,2
1051,102,10,16,3
1051,115,13,16,0
1051,138,23,16,3
1051,158,20,16,3
1051,174,16,16,0
1051,187,13,16,0
1051,198,11,16,3
1051,211,13,16,0
1051,225,14,16,0
1051,240,15,16,0
1051,253,13,16,0
1051,267,14,16,0
1051,282,15,16,0
1051,296,14,16,0
1052,18,18,16,0
1052,32,14,16,0
1052,51,19,16,0
1052,62,11,16,3
1052,87,25,16,1
1052,98,11,16,3
1052,114,16,16,0
1052,128,14,16,0
1052,143,15,16,0
1052,165,22,16,3
1052,177,12,16,3
1052,192,15,16,0
1052,208,16,16,0
1052,224,16,16,0
1052,243,19,16,2
1052,250,7,16,2
1053,10,10,13,3
1053,19,9,13,3
1053,26,7,13,3
1053,35,9,13,3
1053,45,10,13,3
1053,51,6,13,2
1053,60,9,13,3
1053,67,7,13,3
1053,76,9,13,3
1053,82,6,13,2
1053,90,8,13,3
1053,98,8,13,3
1053,105,7,13,3
1053,110,5,13,2
1053,114,4,13,2
1053,122,8,13,3
1053,136,14,13,0
1053,146,10,13,3
1053,152,6,13,2
1053,167,15,13,0
1053,174,7,13,3
1053,185,11,13,2
1053,191,6,13,2
1053,201,10,13,3
1053,207,6,13,2
1053,214,7,13,3
1053,228,14,13,0
1053,239,11,13,0
1054,14,14,15,0
1054,32,18,15,0
1054,48,16,15,0
1054,64,16,15,0
1054,80,16,15,0
1054,99,19,15,3
1054,117,18,15,0
1054,134,17,15,0
1054,148,14,15,0
1054,166,18,15,0
1054,184,18,15,0
1054,198,14,15,0
1054,213,15,15,0
1054,231,18,15,0
1054,248,17,15,0
1054,264,16,15,0
1054,280,16,15,0
1055,10,10,11.5,0
1055,23,13,11.5,0
1055,35,12,11.5,2
1055,40,5,11.5,2
1055,61,21,11.5,1
1055,72,11,11.5,0
1055,82,10,11.5,0
1055,95,13,11.5,0
1055,104,9,11.5,3
1055,116,12,11.5,0
1055,130,14,11.5,3
1055,136,6,11.5,3
1055,140,4,11.5,2
1055,152,12,11.5,0
1055,164,12,11.5,0
1055,173,9,11.5,3
1055,187,14,11.5,3
1055,199,12,11.5,0
1055,211,12,11.5,0
1055,224,13,11.5,0
1055,237,13,11.5,0
1055,248,11,11.5,0
1056,8,8,13,3
1056,20,12,13,0
1056,29,9,13,3
1056,39,10,13,3
1056,41,2,13,2
1056,51,10,13,3
1056,61,10,13,3
1056,72,11,13,0
1056,83,11,13,1
1056,103,20,13,1
1056,117,14,13,0
1056,127,10,13,3
1056,140,13,13,0
1056,149,9,13,3
1056,163,14,13,0
1056,175,12,13,0
1056,186,11,13,0
1056,200,14,13,0
1056,208,8,13,3
1056,209,1,13,2
1056,221,12,13,0
1056,232,11,13,1
1056,254,22,13,1
1057,17,17,13,3
1057,28,11,13,0
1057,43,15,13,0
1057,60,17,13,3
1057,68,8,13,3
1057,72,4,13,2
1057,88,16,13,3
1057,100,12,13,0
1057,118,18,13,3
1057,131,13,13,0
1058,15,15,13,0
1058,28,13,13,0
1058,43,15,13,0
1058,55,12,13,1
1058,77,22,13,1
1058,94,17,13,3
1058,110,16,13,3
1058,127,17,13,3
1058,153,26,13,1
1058,180,27,13,1
1058,194,14,13,0
1058,209,15,13,0
1058,223,14,13,0
1058,234,11,13,0
1058,249,15,13,0
1058,264,15,13,0
1059,10,10,9,0
1059,19,9,9,0
1059,31,12,9,3
1059,36,5,9,3
1059,51,15,9,1
1059,54,3,9,2
1059,79,25,9,1
1059,84,5,9,3
1059,94,10,9,0
1059,100,6,9,3
1059,109,9,9,0
1059,118,9,9,0
1059,127,9,9,0
1059,137,10,9,0
1059,149,12,9,3
1059,155,6,9,3
1059,165,10,9,0
1059,174,9,9,0
1059,183,9,9,0
1059,193,10,9,0
1059,201,8,9,0
1059,211,10,9,0
1059,221,10,9,0
1059,231,10,9,0
1059,237,6,9,3
1059,246,9,9,0
1059,255,9,9,0
1059,265,10,9,0
1060,13,13,15,0
1060,27,14,15,0
1060,44,17,15,0
1060,58,14,15,0
1060,72,14,15,0
1060,88,16,15,0
1060,103,15,15,0
1060,115,12,15,0
1060,132,17,15,0
1060,147,15,15,0
1060,161,14,15,1
1060,187,26,15,1
1060,204,17,15,0
1060,219,15,15,0
1060,234,15,15,0
1060,251,17,15,1
1060,282,31,15,1
1060,295,13,15,0
1061,12,12,11.5,0
1061,21,9,11.5,3
1061,27,6,11.5,3
1061,33,6,11.5,3
1061,45,12,11.5,0
1061,55,10,11.5,0
1061,65,10,11.5,0
1061,77,12,11.5,0
1061,88,11,11.5,0
1061,97,9,11.5,3
1061,107,10,11.5,0
1061,119,12,11.5,0
1061,128,9,11.5,3
1061,141,13,11.5,0
1061,151,10,11.5,0
1061,158,7,11.5,3
1062,17,17,16,0
1062,32,15,16,0
1062,49,17,16,0
1062,63,14,16,0
1062,81,18,16,0
1062,94,13,16,0
1062,112,18,16,0
1062,128,16,16,0
1062,145,17,16,0
1062,160,15,16,0
1062,176,16,16,0
1062,188,12,16,3
1062,206,18,16,0
1062,221,15,16,0
1062,237,16,16,0
1062,252,15,16,0
1062,272,20,16,3
1062,285,13,16,0
1063,3,3,9,2
1063,15,12,9,3
1063,22,7,9,3
1063,32,10,9,0
1063,39,7,9,3
1063,49,10,9,0
1063,59,10,9,0
1063,66,7,9,3
1063,72,6,9,3
1063,75,3,9,2
1063,93,18,9,1
1063,101,8,9,0
1063,110,9,9,0
1063,117,7,9,3
1063,126,9,9,0
1063,137,11,9,3
1063,145,8,9,0
1063,155,10,9,0
1063,161,6,9,3
1063,168,7,9,3
1063,178,10,9,0
1063,184,6,9,3
1063,193,9,9,0
1063,203,10,9,0
1063,211,8,9,0
1063,221,10,9,0
1063,228,7,9,3
1063,237,9,9,0
1063,245,8,9,0
1063,257,12,9,3
1063,262,5,9,3
1063,267,5,9,3
1063,268,1,9,2
1064,25,25,16,1
1064,29,4,16,2
1064,48,19,16,0
1064,58,10,16,3
1064,76,18,16,0
1064,94,18,16,0
1064,111,17,16,0
1064,126,15,16,2
1064,129,3,16,2
1064,143,14,16,1
1064,175,32,16,1
1064,178,3,16,2
1064,189,11,16,3
1064,208,19,16,0
1064,225,17,16,0
1064,238,13,16,0
1064,254,16,16,0
1065,14,14,13,0
1065,23,9,13,3
1065,35,12,13,0
1065,47,12,13,0
1065,58,11,13,0
1065,71,13,13,0
1065,82,11,13,0
1065,91,9,13,3
1065,106,15,13,0
1065,119,13,13,0
1065,133,14,13,0
1065,145,12,13,0
1065,154,9,13,3
1065,165,11,13,0
1065,181,16,13,3
1065,194,13,13,0
1066,1,1,9,2
1066,11,10,9,0
1066,22,11,9,3
1066,33,11,9,3
1066,41,8,9,0
1066,49,8,9,0
1066,61,12,9,3
1066,79,18,9,1
